!SESSION 2022-07-05 19:45:08.378 -----------------------------------------------
eclipse.buildId=2018.3
java.version=1.8.0_112
java.vendor=Oracle Corporation
BootLoader constants: OS=win32, ARCH=x86_64, WS=win32, NL=en_US
Command-line arguments:  -os win32 -ws win32 -arch x86_64 -data C:/Users/HH/Documents/Embedded_system/hust_efi/fpga/hust_efi/hust_efi.sdk

This is a continuation of log file C:\Users\HH\Documents\Embedded_system\hust_efi\fpga\hust_efi\hust_efi.sdk\.metadata\.bak_0.log
Created Time: 2022-07-05 20:00:05.545

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:05.546
!MESSAGE XSCT Command: [disconnect tcfchan#4], Thread: Thread-389

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:05.571
!MESSAGE XSCT command with result: [disconnect tcfchan#4], Result: [null, ]. Thread: Thread-389

!ENTRY com.xilinx.sdk.utils 1 0 2022-07-05 20:00:06.529
!MESSAGE Updating toolusage

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.530
!MESSAGE XSCT Command: [connect -url tcp:127.0.0.1:3121], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.536
!MESSAGE XSCT command with result: [connect -url tcp:127.0.0.1:3121], Result: [null, tcfchan#5]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.537
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.563
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1* Digilent Zybo Z7 210351B3E46AA]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.564
!MESSAGE XSCT Command: [version -server], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.566
!MESSAGE XSCT command with result: [version -server], Result: [null, 2018.3]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.566
!MESSAGE XSCT Command: [version], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.567
!MESSAGE XSCT command with result: [version], Result: [null, xsct 2018.3
SW Build 2405991 on Thu Dec  6 23:38:27 MST 2018
Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.]. Thread: Worker-14
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1* Digilent Zybo Z7 210351B3E46AA]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.856
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "Digilent Zybo Z7 210351B3E46AA" && level==1}], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.895
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "Digilent Zybo Z7 210351B3E46AA" && level==1}], Result: [null,      2  arm_dap (idcode 4ba00477 irlen 4)
     3  xc7z010 (idcode 13722093 irlen 6 fpga)]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.896
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.908
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1* Digilent Zybo Z7 210351B3E46AA]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.909
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "Digilent Zybo Z7 210351B3E46AA" && level==1}], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.977
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "Digilent Zybo Z7 210351B3E46AA" && level==1}], Result: [null,      2  arm_dap (idcode 4ba00477 irlen 4)
     3  xc7z010 (idcode 13722093 irlen 6 fpga)]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:06.978
!MESSAGE XSCT Command: [jtag targets -set -filter {name =~ "Digilent Zybo Z7 210351B3E46AA" && level == 0}], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:07.025
!MESSAGE XSCT command with result: [jtag targets -set -filter {name =~ "Digilent Zybo Z7 210351B3E46AA" && level == 0}], Result: [null, ]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:07.026
!MESSAGE XSCT Command: [jtag frequency], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:07.027
!MESSAGE XSCT command with result: [jtag frequency], Result: [null, 15000000]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:07.028
!MESSAGE XSCT Command: [source C:/Users/HH/Documents/Embedded_system/hust_efi/fpga/hust_efi/hust_efi.sdk/design_1_wrapper_hw_platform_0/ps7_init.tcl], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:07.033
!MESSAGE XSCT command with result: [source C:/Users/HH/Documents/Embedded_system/hust_efi/fpga/hust_efi/hust_efi.sdk/design_1_wrapper_hw_platform_0/ps7_init.tcl], Result: [null, ]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:07.059
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: ModalContext

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:07.073
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1* Digilent Zybo Z7 210351B3E46AA]. Thread: ModalContext

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:07.074
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "Digilent Zybo Z7 210351B3E46AA" && level==1}], Thread: ModalContext

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:07.140
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "Digilent Zybo Z7 210351B3E46AA" && level==1}], Result: [null,      2  arm_dap (idcode 4ba00477 irlen 4)
     3  xc7z010 (idcode 13722093 irlen 6 fpga)]. Thread: ModalContext

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:07.140
!MESSAGE XSCT Command: [targets -set -filter {jtag_cable_name =~ "Digilent Zybo Z7 210351B3E46AA" && level==0} -index 1], Thread: ModalContext

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:07.321
!MESSAGE XSCT command with result: [targets -set -filter {jtag_cable_name =~ "Digilent Zybo Z7 210351B3E46AA" && level==0} -index 1], Result: [null, ]. Thread: ModalContext

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:07.322
!MESSAGE XSCT Command: [fpga -file C:/Users/HH/Documents/Embedded_system/hust_efi/fpga/hust_efi/hust_efi.sdk/design_1_wrapper_hw_platform_0/design_1_wrapper.bit], Thread: ModalContext

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:08.568
!MESSAGE XSCT command with result: [fpga -file C:/Users/HH/Documents/Embedded_system/hust_efi/fpga/hust_efi/hust_efi.sdk/design_1_wrapper_hw_platform_0/design_1_wrapper.bit], Result: [null, ]. Thread: ModalContext

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:08.609
!MESSAGE XSCT Command: [targets -set -nocase -filter {name =~"APU*" && jtag_cable_name =~ "Digilent Zybo Z7 210351B3E46AA"} -index 0], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:08.682
!MESSAGE XSCT command with result: [targets -set -nocase -filter {name =~"APU*" && jtag_cable_name =~ "Digilent Zybo Z7 210351B3E46AA"} -index 0], Result: [null, ]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:08.683
!MESSAGE XSCT Command: [loadhw -hw C:/Users/HH/Documents/Embedded_system/hust_efi/fpga/hust_efi/hust_efi.sdk/design_1_wrapper_hw_platform_0/system.hdf -mem-ranges [list {0x40000000 0xbfffffff}]], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:08.704
!MESSAGE XSCT command with result: [loadhw -hw C:/Users/HH/Documents/Embedded_system/hust_efi/fpga/hust_efi/hust_efi.sdk/design_1_wrapper_hw_platform_0/system.hdf -mem-ranges [list {0x40000000 0xbfffffff}]], Result: [null, design_1_wrapper_2]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:08.706
!MESSAGE XSCT Command: [configparams force-mem-access 1], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:08.708
!MESSAGE XSCT command with result: [configparams force-mem-access 1], Result: [null, ]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:08.709
!MESSAGE XSCT Command: [targets -set -nocase -filter {name =~"APU*" && jtag_cable_name =~ "Digilent Zybo Z7 210351B3E46AA"} -index 0], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:08.769
!MESSAGE XSCT command with result: [targets -set -nocase -filter {name =~"APU*" && jtag_cable_name =~ "Digilent Zybo Z7 210351B3E46AA"} -index 0], Result: [null, ]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:08.770
!MESSAGE XSCT Command: [stop], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:08.854
!MESSAGE XSCT command with result: [stop], Result: [null, ]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:08.854
!MESSAGE XSCT Command: [ps7_init], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:09.760
!MESSAGE XSCT command with result: [ps7_init], Result: [null, ]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:09.761
!MESSAGE XSCT Command: [ps7_post_config], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:09.809
!MESSAGE XSCT command with result: [ps7_post_config], Result: [null, ]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:09.810
!MESSAGE XSCT Command: [targets -set -nocase -filter {name =~ "ARM*#0" && jtag_cable_name =~ "Digilent Zybo Z7 210351B3E46AA"} -index 0], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:09.879
!MESSAGE XSCT command with result: [targets -set -nocase -filter {name =~ "ARM*#0" && jtag_cable_name =~ "Digilent Zybo Z7 210351B3E46AA"} -index 0], Result: [null, ]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:09.879
!MESSAGE XSCT Command: [rst -processor], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:09.944
!MESSAGE XSCT command with result: [rst -processor], Result: [null, ]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:09.945
!MESSAGE XSCT Command: [targets -set -nocase -filter {name =~ "ARM*#0" && jtag_cable_name =~ "Digilent Zybo Z7 210351B3E46AA"} -index 0], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:10.005
!MESSAGE XSCT command with result: [targets -set -nocase -filter {name =~ "ARM*#0" && jtag_cable_name =~ "Digilent Zybo Z7 210351B3E46AA"} -index 0], Result: [null, ]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:10.006
!MESSAGE XSCT Command: [dow C:/Users/HH/Documents/Embedded_system/hust_efi/fpga/hust_efi/hust_efi.sdk/efi_rl/Debug/efi_rl.elf], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:12.102
!MESSAGE XSCT command with result: [dow C:/Users/HH/Documents/Embedded_system/hust_efi/fpga/hust_efi/hust_efi.sdk/efi_rl/Debug/efi_rl.elf], Result: [null, ]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:12.102
!MESSAGE XSCT Command: [configparams force-mem-access 0], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:12.105
!MESSAGE XSCT command with result: [configparams force-mem-access 0], Result: [null, ]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:12.193
!MESSAGE XSCT Command: [targets -set -nocase -filter {name =~ "ARM*#0" && jtag_cable_name =~ "Digilent Zybo Z7 210351B3E46AA"} -index 0], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:12.428
!MESSAGE XSCT command with result: [targets -set -nocase -filter {name =~ "ARM*#0" && jtag_cable_name =~ "Digilent Zybo Z7 210351B3E46AA"} -index 0], Result: [null, ]. Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:12.429
!MESSAGE XSCT Command: [con], Thread: Worker-14

!ENTRY com.xilinx.sdk.utils 0 0 2022-07-05 20:00:12.443
!MESSAGE XSCT command with result: [con], Result: [null, ]. Thread: Worker-14

!ENTRY org.eclipse.tcf 4 0 2022-07-05 20:02:54.320
!MESSAGE TCF channel terminated
!STACK 0
java.net.SocketException: Connection reset
	at java.net.SocketInputStream.read(SocketInputStream.java:209)
	at java.net.SocketInputStream.read(SocketInputStream.java:141)
	at java.io.BufferedInputStream.read1(BufferedInputStream.java:284)
	at java.io.BufferedInputStream.read(BufferedInputStream.java:345)
	at java.io.FilterInputStream.read(FilterInputStream.java:107)
	at org.eclipse.tcf.core.ChannelTCP.get(ChannelTCP.java:185)
	at org.eclipse.tcf.core.StreamChannel.read(StreamChannel.java:84)
	at org.eclipse.tcf.core.AbstractChannel$1.run(AbstractChannel.java:327)
!SESSION 2022-07-05 20:09:58.547 -----------------------------------------------
eclipse.buildId=2018.3
java.version=1.8.0_112
java.vendor=Oracle Corporation
BootLoader constants: OS=win32, ARCH=x86_64, WS=win32, NL=en_US
Command-line arguments:  -os win32 -ws win32 -arch x86_64 -data C:/Users/HH/Documents/Embedded_system/hust_efi/fpga/hust_efi/hust_efi.sdk

!ENTRY org.eclipse.core.resources 2 10035 2022-07-05 20:10:04.037
!MESSAGE The workspace exited with unsaved changes in the previous session; refreshing workspace to recover changes.

!ENTRY org.eclipse.ui 2 0 2022-07-05 20:10:05.949
!MESSAGE Warnings while parsing the commands from the 'org.eclipse.ui.commands' and 'org.eclipse.ui.actionDefinitions' extension points.
!SUBENTRY 1 org.eclipse.ui 2 0 2022-07-05 20:10:05.949
!MESSAGE Commands should really have a category: plug-in='com.xilinx.sdk.appwiz', id='com.xilinx.sdk.app.commands.ChangeAtfBuiltReferences', categoryId='com.xilinx.sdk.app.commands.category'

!ENTRY org.eclipse.equinox.preferences 4 2 2022-07-05 20:10:07.060
!MESSAGE Problems occurred when invoking code from plug-in: "org.eclipse.equinox.preferences".
!STACK 0
org.eclipse.swt.SWTException: Invalid thread access
	at org.eclipse.swt.SWT.error(SWT.java:4533)
	at org.eclipse.swt.SWT.error(SWT.java:4448)
	at org.eclipse.swt.SWT.error(SWT.java:4419)
	at org.eclipse.swt.widgets.Display.error(Display.java:1262)
	at org.eclipse.swt.widgets.Display.checkDevice(Display.java:766)
	at org.eclipse.swt.widgets.Display.disposeExec(Display.java:1207)
	at org.eclipse.jface.resource.ColorRegistry.hookDisplayDispose(ColorRegistry.java:256)
	at org.eclipse.jface.resource.ColorRegistry.<init>(ColorRegistry.java:119)
	at org.eclipse.jface.resource.ColorRegistry.<init>(ColorRegistry.java:102)
	at org.eclipse.ui.internal.themes.WorkbenchThemeManager.init(WorkbenchThemeManager.java:135)
	at org.eclipse.ui.internal.themes.WorkbenchThemeManager.getCurrentTheme(WorkbenchThemeManager.java:259)
	at org.eclipse.cdt.ui.CUIPreferenceInitializer.setThemeBasedPreferences(CUIPreferenceInitializer.java:103)
	at org.eclipse.cdt.ui.PreferenceConstants.initializeDefaultValues(PreferenceConstants.java:2326)
	at org.eclipse.cdt.ui.CUIPreferenceInitializer.initializeDefaultPreferences(CUIPreferenceInitializer.java:46)
	at org.eclipse.core.internal.preferences.PreferenceServiceRegistryHelper$1.run(PreferenceServiceRegistryHelper.java:298)
	at org.eclipse.core.runtime.SafeRunner.run(SafeRunner.java:42)
	at org.eclipse.core.internal.preferences.PreferenceServiceRegistryHelper.runInitializer(PreferenceServiceRegistryHelper.java:301)
	at org.eclipse.core.internal.preferences.PreferenceServiceRegistryHelper.applyRuntimeDefaults(PreferenceServiceRegistryHelper.java:131)
	at org.eclipse.core.internal.preferences.PreferencesService.applyRuntimeDefaults(PreferencesService.java:370)
	at org.eclipse.core.internal.preferences.DefaultPreferences.applyRuntimeDefaults(DefaultPreferences.java:222)
	at org.eclipse.core.internal.preferences.DefaultPreferences.load(DefaultPreferences.java:276)
	at org.eclipse.core.internal.preferences.EclipsePreferences.create(EclipsePreferences.java:370)
	at org.eclipse.core.internal.preferences.EclipsePreferences.internalNode(EclipsePreferences.java:623)
	at org.eclipse.core.internal.preferences.EclipsePreferences.node(EclipsePreferences.java:766)
	at org.eclipse.core.internal.preferences.AbstractScope.getNode(AbstractScope.java:38)
	at org.eclipse.core.runtime.preferences.DefaultScope.getNode(DefaultScope.java:74)
	at org.eclipse.ui.preferences.ScopedPreferenceStore.getDefaultPreferences(ScopedPreferenceStore.java:237)
	at org.eclipse.ui.preferences.ScopedPreferenceStore.getPreferenceNodes(ScopedPreferenceStore.java:268)
	at org.eclipse.ui.preferences.ScopedPreferenceStore.internalGet(ScopedPreferenceStore.java:418)
	at org.eclipse.ui.preferences.ScopedPreferenceStore.getInt(ScopedPreferenceStore.java:436)
	at org.eclipse.cdt.internal.ui.preferences.BuildConsolePreferencePage.buildConsoleLines(BuildConsolePreferencePage.java:154)
	at org.eclipse.cdt.internal.ui.buildconsole.BuildConsolePartitioner.<init>(BuildConsolePartitioner.java:361)
	at org.eclipse.cdt.internal.ui.buildconsole.BuildConsoleManager.getProjectConsolePartioner(BuildConsoleManager.java:454)
	at org.eclipse.cdt.internal.ui.buildconsole.BuildConsoleManager.getProjectConsole(BuildConsoleManager.java:435)
	at org.eclipse.cdt.internal.ui.buildconsole.BuildConsoleManager.getConsole(BuildConsoleManager.java:420)
	at org.eclipse.cdt.internal.ui.buildconsole.CBuildConsole.start(CBuildConsole.java:55)
	at org.eclipse.cdt.make.core.MakeBuilder.invokeMake(MakeBuilder.java:180)
	at org.eclipse.cdt.make.core.MakeBuilder.build(MakeBuilder.java:108)
	at org.eclipse.core.internal.events.BuildManager$2.run(BuildManager.java:735)
	at org.eclipse.core.runtime.SafeRunner.run(SafeRunner.java:42)
	at org.eclipse.core.internal.events.BuildManager.basicBuild(BuildManager.java:206)
	at org.eclipse.core.internal.events.BuildManager.basicBuild(BuildManager.java:246)
	at org.eclipse.core.internal.events.BuildManager$1.run(BuildManager.java:301)
	at org.eclipse.core.runtime.SafeRunner.run(SafeRunner.java:42)
	at org.eclipse.core.internal.events.BuildManager.basicBuild(BuildManager.java:304)
	at org.eclipse.core.internal.events.BuildManager.basicBuildLoop(BuildManager.java:360)
	at org.eclipse.core.internal.events.BuildManager.build(BuildManager.java:383)
	at org.eclipse.core.internal.events.AutoBuildJob.doBuild(AutoBuildJob.java:144)
	at org.eclipse.core.internal.events.AutoBuildJob.run(AutoBuildJob.java:235)
	at org.eclipse.core.internal.jobs.Worker.run(Worker.java:55)

!ENTRY org.eclipse.ui 2 0 2022-07-05 20:10:08.078
!MESSAGE Warnings while parsing the commands from the 'org.eclipse.ui.commands' and 'org.eclipse.ui.actionDefinitions' extension points.
!SUBENTRY 1 org.eclipse.ui 2 0 2022-07-05 20:10:08.078
!MESSAGE Commands should really have a category: plug-in='com.xilinx.sdk.appwiz', id='com.xilinx.sdk.app.commands.ChangeAtfBuiltReferences', categoryId='com.xilinx.sdk.app.commands.category'

!ENTRY org.eclipse.cdt.core 4 0 2022-07-05 20:10:08.557
!MESSAGE Error
!STACK 0
java.lang.NullPointerException
	at org.eclipse.cdt.internal.core.ConsoleOutputSniffer.processLine(ConsoleOutputSniffer.java:178)
	at org.eclipse.cdt.internal.core.ConsoleOutputSniffer.access$0(ConsoleOutputSniffer.java:174)
	at org.eclipse.cdt.internal.core.ConsoleOutputSniffer$ConsoleOutputStream.checkLine(ConsoleOutputSniffer.java:99)
	at org.eclipse.cdt.internal.core.ConsoleOutputSniffer$ConsoleOutputStream.write(ConsoleOutputSniffer.java:58)
	at java.io.OutputStream.write(OutputStream.java:75)
	at org.eclipse.cdt.core.CommandLauncher.printCommandLine(CommandLauncher.java:287)
	at org.eclipse.cdt.core.CommandLauncher.waitAndRead(CommandLauncher.java:250)
	at org.eclipse.cdt.internal.core.BuildRunnerHelper.build(BuildRunnerHelper.java:273)
	at org.eclipse.cdt.make.core.MakeBuilder.invokeMake(MakeBuilder.java:219)
